ZIP,protected,not_protected
8701,0.10300000000000001,0.897
77494,0.248,0.752
77449,0.485,0.515
11368,0.7559999999999999,0.2440000000000001
78660,0.37,0.63
90011,0.9179999999999999,0.08200000000000007
11385,0.466,0.534
77084,0.444,0.556
11208,0.406,0.594
79936,0.872,0.128
60629,0.736,0.264
90650,0.69,0.31000000000000005
77433,0.276,0.724
91331,0.872,0.128
11236,0.086,0.914
10467,0.522,0.478
37013,0.174,0.8260000000000001
11373,0.426,0.5740000000000001
94565,0.488,0.512
90044,0.6679999999999999,0.3320000000000001
11226,0.14800000000000002,0.852
30044,0.318,0.6819999999999999
92336,0.561,0.43899999999999995
11207,0.344,0.656
92335,0.846,0.15400000000000003
10025,0.225,0.775
90805,0.609,0.391
90250,0.531,0.469
90201,0.9390000000000001,0.06099999999999994
75052,0.387,0.613
11214,0.17300000000000001,0.827
77573,0.17300000000000001,0.827
60618,0.38299999999999995,0.617
926,0.987,0.013000000000000012
11234,0.091,0.909
10314,0.151,0.849
11220,0.39299999999999996,0.607
90280,0.953,0.04700000000000004
11219,0.124,0.876
91342,0.752,0.248
11230,0.109,0.891
79938,0.8270000000000001,0.17299999999999993
92683,0.242,0.758
78245,0.637,0.363
11206,0.36200000000000004,0.6379999999999999
10456,0.578,0.42200000000000004
92503,0.624,0.376
77479,0.10300000000000001,0.897
11221,0.324,0.6759999999999999
77584,0.21899999999999997,0.781
60639,0.746,0.254
78521,0.968,0.03200000000000003
91911,0.73,0.27
30043,0.201,0.7989999999999999
77429,0.22699999999999998,0.773
93722,0.47600000000000003,0.524
92345,0.6,0.4
75217,0.7390000000000001,0.2609999999999999
60632,0.826,0.17400000000000004
93307,0.7959999999999999,0.20400000000000007
92376,0.7809999999999999,0.21900000000000008
10458,0.72,0.28
92804,0.47100000000000003,0.5289999999999999
78613,0.21100000000000002,0.7889999999999999
95076,0.735,0.265
11233,0.159,0.841
60647,0.374,0.626
11229,0.092,0.908
11377,0.38799999999999996,0.6120000000000001
92154,0.69,0.31000000000000005
60804,0.877,0.123
11235,0.09,0.91
78542,0.948,0.052000000000000046
78130,0.392,0.608
94112,0.281,0.719
60617,0.401,0.599
93033,0.8540000000000001,0.1459999999999999
99301,0.5379999999999999,0.4620000000000001
78666,0.434,0.5660000000000001
30024,0.064,0.9359999999999999
